"year","month","day","load"
2013,2,10,19071
2013,2,10,19093
2013,2,10,19142
2013,2,10,19389
2013,2,10,19456
2013,2,10,19886
2013,2,10,20944
2013,2,10,21738
2013,2,10,22404
2013,2,10,22361
2013,2,10,22287
2013,2,10,22484
2013,2,10,22238
2013,2,10,22637
2013,2,10,23376
2013,2,10,24792
2013,2,10,24729
2013,2,10,24325
2013,2,10,23994
2013,2,10,23187
2013,2,10,21692
2013,2,11,20790
2013,2,11,19860
2013,2,11,19290
2013,2,11,19125
2013,2,11,18989
2013,2,11,19526
2013,2,11,20422
2013,2,11,22017
2013,2,11,23191
2013,2,11,24479
2013,2,11,25025
2013,2,11,25161
2013,2,11,24966
2013,2,11,24995
2013,2,11,24885
2013,2,11,24863
2013,2,11,25077
2013,2,11,25472
2013,2,11,26507
2013,2,11,26089
2013,2,11,25585
2013,2,11,25271
2013,2,11,24368
2013,2,11,22753
2013,2,12,21358
2013,2,12,20453
2013,2,12,19903
2013,2,12,19662
2013,2,12,19763
2013,2,12,20123
2013,2,12,20983
2013,2,12,22511
2013,2,12,23549
2013,2,12,24672
2013,2,12,25132
2013,2,12,25149
2013,2,12,24886
2013,2,12,24573
2013,2,12,24726
2013,2,12,24731
2013,2,12,24807
2013,2,12,25025
2013,2,12,26284
2013,2,12,26068
2013,2,12,25688
2013,2,12,25292
2013,2,12,24418
2013,2,12,22813
2013,2,13,21587
2013,2,13,20454
2013,2,13,20023
2013,2,13,19674
2013,2,13,19524
2013,2,13,19867
2013,2,13,20719
2013,2,13,22243
2013,2,13,23213
2013,2,13,24254
2013,2,13,24665
2013,2,13,24617
2013,2,13,24443
2013,2,13,24339
2013,2,13,24370
2013,2,13,24181
2013,2,13,24485
2013,2,13,24881
2013,2,13,26359
2013,2,13,26309
2013,2,13,25969
2013,2,13,25252
2013,2,13,24367
2013,2,13,22748
2013,2,14,21506
2013,2,14,20194
2013,2,14,19798
2013,2,14,19401
2013,2,14,19605
2013,2,14,19938
2013,2,14,20751
2013,2,14,22240
2013,2,14,23501
2013,2,14,24424
2013,2,14,24814
2013,2,14,25086
2013,2,14,24671
2013,2,14,24684
2013,2,14,24858
2013,2,14,24736
2013,2,14,24811
2013,2,14,25250
2013,2,14,26276
2013,2,14,25966
2013,2,14,25476
2013,2,14,24955
2013,2,14,24016
2013,2,14,22463
2013,2,15,21529
2013,2,15,20329
2013,2,15,19769
2013,2,15,19666
2013,2,15,19711
2013,2,15,19921
2013,2,15,20936
2013,2,15,22266
2013,2,15,23125
2013,2,15,24140
2013,2,15,24404
2013,2,15,24731
2013,2,15,24415
2013,2,15,24558
2013,2,15,24536
2013,2,15,24548
2013,2,15,24535
2013,2,15,25014
2013,2,15,25970
2013,2,15,25925
2013,2,15,25289
2013,2,15,24810
2013,2,15,24016
2013,2,15,22668
2013,2,16,21613
2013,2,16,20580
2013,2,16,19965
2013,2,16,19632
2013,2,16,19660
2013,2,16,19959
2013,2,16,20248
2013,2,16,20408
2013,2,16,21259
2013,2,16,22725
2013,2,16,23634
2013,2,16,24293
2013,2,16,24163
2013,2,16,24254
2013,2,16,23999
2013,2,16,23748
2013,2,16,24146
2013,2,16,24584
2013,2,16,25763
2013,2,16,25601
2013,2,16,25196
2013,2,16,24623
2013,2,16,23902
2013,2,16,22429
2013,2,17,21620
2013,2,17,20559
2013,2,17,19838
2013,2,17,19515
2013,2,17,19439
2013,2,17,19647
2013,2,17,19872
2013,2,17,19942
2013,2,17,20587
2013,2,17,21805
2013,2,17,22532
2013,2,17,22962
2013,2,17,22863
2013,2,17,22682
2013,2,17,22704
2013,2,17,22636
2013,2,17,23067
2013,2,17,23787
2013,2,17,25288
2013,2,17,25263
2013,2,17,25146
2013,2,17,24571
2013,2,17,23730
2013,2,17,22211
2013,2,18,21203
2013,2,18,20191
2013,2,18,19859
2013,2,18,19773
2013,2,18,19558
2013,2,18,19959
2013,2,18,21052
2013,2,18,22833
2013,2,18,24009
2013,2,18,25267
2013,2,18,25664
2013,2,18,25758
2013,2,18,25345
2013,2,18,25436
2013,2,18,25622
2013,2,18,25576
2013,2,18,25465
2013,2,18,25703
2013,2,18,26825
2013,2,18,26708
2013,2,18,26331
2013,2,18,25678
2013,2,18,24773
2013,2,18,22973
2013,2,19,21939
2013,2,19,20852
2013,2,19,20332
2013,2,19,20231
2013,2,19,20162
2013,2,19,20771
2013,2,19,21524
2013,2,19,23182
2013,2,19,24047
2013,2,19,25159
2013,2,19,25414
2013,2,19,25432
2013,2,19,25159
2013,2,19,25187
2013,2,19,25359
2013,2,19,25302
2013,2,19,25274
2013,2,19,25632
2013,2,19,26778
2013,2,19,26671
2013,2,19,26294
2013,2,19,25856
2013,2,19,24753
2013,2,19,23270
2013,2,20,22110
2013,2,20,20980
2013,2,20,20393
2013,2,20,20274
2013,2,20,20251
2013,2,20,20586
2013,2,20,21410
2013,2,20,23072
2013,2,20,23874
2013,2,20,25088
2013,2,20,25122
2013,2,20,25251
2013,2,20,24898
2013,2,20,24667
2013,2,20,24668
2013,2,20,24652
2013,2,20,24487
2013,2,20,24877
2013,2,20,26413
2013,2,20,26543
2013,2,20,26245
2013,2,20,25486
2013,2,20,24539
2013,2,20,22930
2013,2,21,21813
2013,2,21,20827
2013,2,21,20234
2013,2,21,20019
2013,2,21,20050
2013,2,21,20385
2013,2,21,21364
2013,2,21,22601
2013,2,21,23586
2013,2,21,24751
2013,2,21,24941
2013,2,21,25031
2013,2,21,24865
2013,2,21,24726
2013,2,21,24758
2013,2,21,24617
2013,2,21,24713
2013,2,21,25037
2013,2,21,26360
2013,2,21,26587
2013,2,21,26167
2013,2,21,25593
2013,2,21,24558
2013,2,21,22880
2013,2,22,21610
2013,2,22,20636
2013,2,22,20081
2013,2,22,19986
2013,2,22,20010
2013,2,22,20325
2013,2,22,21268
2013,2,22,22557
2013,2,22,23522
2013,2,22,24699
2013,2,22,24913
2013,2,22,24915
2013,2,22,24595
2013,2,22,24673
2013,2,22,24773
2013,2,22,24423
